月份,地区,产品类别,销售目标,利润目标
2024-01,华东,电子产品,350000,85000
2024-01,华东,办公用品,120000,28000
2024-01,华北,电子产品,280000,68000
2024-01,华北,办公用品,95000,22000
2024-01,华南,电子产品,320000,78000
2024-01,华南,办公用品,110000,26000
2024-01,西南,电子产品,180000,43000
2024-01,西南,办公用品,65000,15000
2024-01,西北,电子产品,150000,36000
2024-01,西北,办公用品,55000,13000
2024-02,华东,电子产品,380000,92000
2024-02,华东,办公用品,130000,30000
2024-02,华北,电子产品,310000,75000
2024-02,华北,办公用品,105000,24000
2024-02,华南,电子产品,350000,85000
2024-02,华南,办公用品,120000,28000
2024-02,西南,电子产品,200000,48000
2024-02,西南,办公用品,72000,17000
2024-02,西北,电子产品,165000,40000
2024-02,西北,办公用品,60000,14000
2024-03,华东,电子产品,420000,102000
2024-03,华东,办公用品,145000,34000
2024-03,华北,电子产品,340000,82000
2024-03,华北,办公用品,115000,27000
2024-03,华南,电子产品,380000,92000
2024-03,华南,办公用品,130000,30000
2024-03,西南,电子产品,220000,53000
2024-03,西南,办公用品,78000,18000
2024-03,西北,电子产品,180000,43000
2024-03,西北,办公用品,65000,15000
2024-04,华东,电子产品,450000,109000
2024-04,华东,办公用品,155000,36000
2024-04,华北,电子产品,365000,88000
2024-04,华北,办公用品,125000,29000
2024-04,华南,电子产品,410000,99000
2024-04,华南,办公用品,140000,33000
2024-04,西南,电子产品,240000,58000
2024-04,西南,办公用品,85000,20000
2024-04,西北,电子产品,195000,47000
2024-04,西北,办公用品,70000,16000
2024-05,华东,电子产品,480000,116000
2024-05,华东,办公用品,165000,38000
2024-05,华北,电子产品,390000,94000
2024-05,华北,办公用品,135000,31000
2024-05,华南,电子产品,440000,106000
2024-05,华南,办公用品,150000,35000
2024-05,西南,电子产品,260000,63000
2024-05,西南,办公用品,92000,21000
2024-05,西北,电子产品,210000,51000
2024-05,西北,办公用品,75000,17000